Resource,Activity,org:resource,concept:name,lifecycle:transition,time:timestamp,start:timestamp,case:creator,case:variant-index,case:variant,case:concept:name
Kim Passa,Create Purchase Requisition,Kim Passa,Create Purchase Requisition,complete,2011-01-01 06:37:00+00:00,2011-01-01 06:37:00+00:00,Fluxicon Disco,2,Variant 2,1
Kim Passa,Create Request for Quotation,Kim Passa,Create Request for Quotation,complete,2011-01-01 11:45:00+00:00,2011-01-01 09:12:48.515625+00:00,Fluxicon Disco,2,Variant 2,1
Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,complete,2011-01-01 12:55:00+00:00,2011-01-01 12:55:00+00:00,Fluxicon Disco,2,Variant 2,1
Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,Send Request for Quotation to Supplier,complete,2011-01-01 18:09:00+00:00,2011-01-01 17:37:31.025391+00:00,Fluxicon Disco,2,Variant 2,1
Magdalena Predutta,Create Quotation comparison Map,Magdalena Predutta,Create Quotation comparison Map,complete,2011-01-01 22:03:00+00:00,2011-01-01 21:18:53.789062+00:00,Fluxicon Disco,2,Variant 2,1
Immanuel Karagianni,Analyze Quotation Comparison Map,Immanuel Karagianni,Analyze Quotation Comparison Map,complete,2011-01-02 05:13:00+00:00,2011-01-01 22:08:02.343750+00:00,Fluxicon Disco,2,Variant 2,1
Tesca Lobes,Choose best option,Tesca Lobes,Choose best option,complete,2011-01-02 05:13:00+00:00,2011-01-02 05:13:00+00:00,Fluxicon Disco,2,Variant 2,1
Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,complete,2011-01-02 15:20:00+00:00,2011-01-02 13:12:33.222656+00:00,Fluxicon Disco,2,Variant 2,1
Karel de Groot,Create Purchase Order,Karel de Groot,Create Purchase Order,complete,2011-01-02 16:10:00+00:00,2011-01-02 16:00:19.921875+00:00,Fluxicon Disco,2,Variant 2,1
Sean Manney,Confirm Purchase Order,Sean Manney,Confirm Purchase Order,complete,2011-01-02 20:43:00+00:00,2011-01-02 20:43:00+00:00,Fluxicon Disco,2,Variant 2,1
Sean Manney,Deliver Goods Services,Sean Manney,Deliver Goods Services,complete,2011-01-03 09:37:00+00:00,2011-01-03 09:37:00+00:00,Fluxicon Disco,2,Variant 2,1
Elvira Lores,Release Purchase Order,Elvira Lores,Release Purchase Order,complete,2011-01-03 17:21:00+00:00,2011-01-03 09:37:00.849609+00:00,Fluxicon Disco,2,Variant 2,1
Karel de Groot,Approve Purchase Order for payment,Karel de Groot,Approve Purchase Order for payment,complete,2011-01-04 01:10:00+00:00,2011-01-04 00:35:40.986328+00:00,Fluxicon Disco,2,Variant 2,1
Kiu Kan,Send Invoice,Kiu Kan,Send Invoice,complete,2011-01-04 06:54:00+00:00,2011-01-04 06:54:00+00:00,Fluxicon Disco,2,Variant 2,1
Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,complete,2011-01-04 21:13:00+00:00,2011-01-04 21:13:00+00:00,Fluxicon Disco,2,Variant 2,1
Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,complete,2011-01-04 21:13:00+00:00,2011-01-04 21:13:00+00:00,Fluxicon Disco,2,Variant 2,1
Pedro Alvares,Pay Invoice,Pedro Alvares,Pay Invoice,complete,2011-01-04 21:31:00+00:00,2011-01-04 21:31:00+00:00,Fluxicon Disco,2,Variant 2,1
Immanuel Karagianni,Create Purchase Requisition,Immanuel Karagianni,Create Purchase Requisition,complete,2011-01-01 06:29:00+00:00,2011-01-01 06:29:00+00:00,Fluxicon Disco,20,Variant 20,2
Alberto Duport,Create Request for Quotation,Alberto Duport,Create Request for Quotation,complete,2011-01-01 14:26:00+00:00,2011-01-01 14:26:00+00:00,Fluxicon Disco,20,Variant 20,2
Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,complete,2011-01-01 15:38:00+00:00,2011-01-01 15:38:00+00:00,Fluxicon Disco,20,Variant 20,2
Christian Francois,Amend Request for Quotation,Christian Francois,Amend Request for Quotation,complete,2011-01-01 16:21:00+00:00,2011-01-01 16:21:00+00:00,Fluxicon Disco,20,Variant 20,2
Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,complete,2011-01-01 17:48:00+00:00,2011-01-01 17:48:00+00:00,Fluxicon Disco,20,Variant 20,2
Esmana Liubiata,Amend Request for Quotation,Esmana Liubiata,Amend Request for Quotation,complete,2011-01-01 18:39:00+00:00,2011-01-01 18:03:08.437500+00:00,Fluxicon Disco,20,Variant 20,2
Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,complete,2011-01-01 19:38:00+00:00,2011-01-01 19:38:00+00:00,Fluxicon Disco,20,Variant 20,2
Francois de Perrier,Send Request for Quotation to Supplier,Francois de Perrier,Send Request for Quotation to Supplier,complete,2011-01-01 21:40:00+00:00,2011-01-01 21:40:00+00:00,Fluxicon Disco,20,Variant 20,2
Karel de Groot,Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,complete,2011-01-01 22:43:00+00:00,2011-01-01 22:43:00+00:00,Fluxicon Disco,20,Variant 20,2
Esmana Liubiata,Analyze Quotation Comparison Map,Esmana Liubiata,Analyze Quotation Comparison Map,complete,2011-01-02 05:44:00+00:00,2011-01-01 22:47:56.015625+00:00,Fluxicon Disco,20,Variant 20,2
Fjodor Kowalski,Choose best option,Fjodor Kowalski,Choose best option,complete,2011-01-02 05:44:00+00:00,2011-01-02 05:44:00+00:00,Fluxicon Disco,20,Variant 20,2
Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Settle Conditions With Supplier,complete,2011-01-02 21:07:00+00:00,2011-01-02 17:53:12.363281+00:00,Fluxicon Disco,20,Variant 20,2
Magdalena Predutta,Create Purchase Order,Magdalena Predutta,Create Purchase Order,complete,2011-01-02 22:31:00+00:00,2011-01-02 22:14:45.468750+00:00,Fluxicon Disco,20,Variant 20,2
Esmeralda Clay,Confirm Purchase Order,Esmeralda Clay,Confirm Purchase Order,complete,2011-01-03 02:29:00+00:00,2011-01-03 02:29:00+00:00,Fluxicon Disco,20,Variant 20,2
Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,Deliver Goods Services,complete,2011-01-04 20:53:00+00:00,2011-01-04 20:53:00+00:00,Fluxicon Disco,20,Variant 20,2
Elvira Lores,Release Purchase Order,Elvira Lores,Release Purchase Order,complete,2011-01-05 05:02:00+00:00,2011-01-04 20:53:00.895386+00:00,Fluxicon Disco,20,Variant 20,2
Karel de Groot,Approve Purchase Order for payment,Karel de Groot,Approve Purchase Order for payment,complete,2011-01-05 15:04:00+00:00,2011-01-05 14:49:21.005859+00:00,Fluxicon Disco,20,Variant 20,2
Esmeralda Clay,Send Invoice,Esmeralda Clay,Send Invoice,complete,2011-01-05 20:50:00+00:00,2011-01-05 20:36:06.796875+00:00,Fluxicon Disco,20,Variant 20,2
Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,complete,2011-01-06 11:07:00+00:00,2011-01-06 11:07:00+00:00,Fluxicon Disco,20,Variant 20,2
Karalda Nimwada,Settle Dispute With Supplier,Karalda Nimwada,Settle Dispute With Supplier,complete,2011-01-06 11:58:00+00:00,2011-01-06 11:58:00+00:00,Fluxicon Disco,20,Variant 20,2
Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,complete,2011-01-06 11:58:00+00:00,2011-01-06 11:58:00+00:00,Fluxicon Disco,20,Variant 20,2
Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,complete,2011-01-06 12:32:00+00:00,2011-01-06 12:32:00+00:00,Fluxicon Disco,20,Variant 20,2
Kim Passa,Create Purchase Requisition,Kim Passa,Create Purchase Requisition,complete,2011-01-01 09:03:00+00:00,2011-01-01 09:03:00+00:00,Fluxicon Disco,1,Variant 1,3
Heinz Gutschmidt,Analyze Purchase Requisition,Heinz Gutschmidt,Analyze Purchase Requisition,complete,2011-01-02 07:58:00+00:00,2011-01-02 01:17:41.250000+00:00,Fluxicon Disco,1,Variant 1,3
Francis Odell,Create Request for Quotation,Francis Odell,Create Request for Quotation,complete,2011-01-02 08:03:00+00:00,2011-01-02 08:03:00+00:00,Fluxicon Disco,1,Variant 1,3
