case_id,activity,enable_time,start_time,end_time,resource
0,Create Purchase Requisition,2011-01-01 00:00:00.000000+00:00,2011-01-01 00:00:00.000000+00:00,2011-01-01 00:00:00.000000+00:00,Tesca Lobes
0,Analyze Purchase Requisition,2011-01-01 00:00:00.000000+00:00,2011-01-01 00:00:00.000000+00:00,2011-01-01 00:24:19.959587+00:00,Heinz Gutschmidt
0,Create Request for Quotation,2011-01-01 00:24:19.959587+00:00,2011-01-01 00:24:19.959587+00:00,2011-01-01 00:41:06.753279+00:00,Christian Francois
0,Analyze Request for Quotation,2011-01-01 00:41:06.753279+00:00,2011-01-01 06:00:00.000000+00:00,2011-01-04 10:13:59.652143+00:00,Francois de Perrier
1,Create Purchase Requisition,2011-01-01 16:06:40.757610+00:00,2011-01-02 00:00:00.000000+00:00,2011-01-02 00:00:00.000000+00:00,Fjodor Kowalski
2,Create Purchase Requisition,2011-01-01 22:04:20.296233+00:00,2011-01-02 00:00:00.000000+00:00,2011-01-02 00:00:00.000000+00:00,Nico Ojenbeer
2,Analyze Purchase Requisition,2011-01-02 00:00:00.000000+00:00,2011-01-02 00:00:00.000000+00:00,2011-01-02 00:37:28.410078+00:00,Heinz Gutschmidt
1,Analyze Purchase Requisition,2011-01-02 00:00:00.000000+00:00,2011-01-02 12:00:00.000000+00:00,2011-01-02 13:40:49.871532+00:00,Maris Freeman
2,Create Request for Quotation,2011-01-02 00:37:28.410078+00:00,2011-01-02 00:37:28.410078+00:00,2011-01-02 00:37:43.630303+00:00,Esmana Liubiata
2,Analyze Request for Quotation,2011-01-02 00:37:43.630303+00:00,2011-01-02 12:00:00.000000+00:00,2011-01-02 14:04:17.240767+00:00,Magdalena Predutta
1,Create Request for Quotation,2011-01-02 13:40:49.871532+00:00,2011-01-03 00:00:00.000000+00:00,2011-01-03 00:01:34.106749+00:00,Anne Olwada
2,Amend Request for Quotation,2011-01-02 14:04:17.240767+00:00,2011-01-03 00:00:00.000000+00:00,2011-01-03 01:00:35.911697+00:00,Penn Osterwalder
1,Analyze Request for Quotation,2011-01-03 00:01:34.106749+00:00,2011-01-03 12:00:00.000000+00:00,2011-01-03 14:35:46.462348+00:00,Karel de Groot
2,Analyze Request for Quotation,2011-01-03 01:00:35.911697+00:00,2011-01-03 12:00:00.000000+00:00,2011-01-04 19:26:58.351212+00:00,Magdalena Predutta
3,Create Purchase Requisition,2011-01-03 08:07:16.258245+00:00,2011-01-03 08:07:16.258245+00:00,2011-01-03 08:07:16.258245+00:00,Tesca Lobes
3,Create Request for Quotation,2011-01-03 08:07:16.258245+00:00,2011-01-03 08:07:16.258245+00:00,2011-01-03 08:07:22.060604+00:00,Christian Francois
3,Analyze Request for Quotation,2011-01-03 08:07:22.060604+00:00,2011-01-03 14:35:46.462348+00:00,2011-01-06 18:18:54.798133+00:00,Karel de Groot
1,Amend Request for Quotation,2011-01-03 14:35:46.462348+00:00,2011-01-03 14:35:46.462348+00:00,2011-01-03 14:35:52.041181+00:00,Elvira Lores
1,Analyze Request for Quotation,2011-01-03 14:35:52.041181+00:00,2011-01-04 10:13:59.652143+00:00,2011-01-09 10:57:02.127488+00:00,Francois de Perrier
4,Create Purchase Requisition,2011-01-03 16:02:14.724425+00:00,2011-01-03 16:02:14.724425+00:00,2011-01-03 16:02:14.724425+00:00,Kim Passa
4,Analyze Purchase Requisition,2011-01-03 16:02:14.724425+00:00,2011-01-03 16:02:14.724425+00:00,2011-01-03 18:23:39.290403+00:00,Francis Odell
4,Create Request for Quotation,2011-01-03 18:23:39.290403+00:00,2011-01-03 18:23:39.290403+00:00,2011-01-03 18:23:56.154472+00:00,Anna Kaufmann
4,Analyze Request for Quotation,2011-01-03 18:23:56.154472+00:00,2011-01-04 19:26:58.351212+00:00,2011-01-04 23:09:31.955205+00:00,Magdalena Predutta
5,Create Purchase Requisition,2011-01-03 20:09:38.616126+00:00,2011-01-03 20:09:38.616126+00:00,2011-01-03 20:09:38.616126+00:00,Immanuel Karagianni
5,Analyze Purchase Requisition,2011-01-03 20:09:38.616126+00:00,2011-01-04 00:00:00.000000+00:00,2011-01-04 01:42:58.966389+00:00,Heinz Gutschmidt
5,Create Request for Quotation,2011-01-04 01:42:58.966389+00:00,2011-01-04 12:00:00.000000+00:00,2011-01-04 12:06:20.198933+00:00,Clement Duchot
6,Create Purchase Requisition,2011-01-04 03:54:32.942863+00:00,2011-01-04 12:00:00.000000+00:00,2011-01-04 12:00:00.000000+00:00,Alberto Duport
0,Amend Request for Quotation,2011-01-04 10:13:59.652143+00:00,2011-01-04 12:00:00.000000+00:00,2011-01-04 13:07:55.683993+00:00,Miu Hanwan
6,Analyze Purchase Requisition,2011-01-04 12:00:00.000000+00:00,2011-01-04 12:00:00.000000+00:00,2011-01-04 12:08:54.279614+00:00,Maris Freeman
5,Analyze Request for Quotation,2011-01-04 12:06:20.198933+00:00,2011-01-04 23:09:31.955205+00:00,2011-01-05 18:43:23.490121+00:00,Magdalena Predutta
6,Create Request for Quotation,2011-01-04 12:08:54.279614+00:00,2011-01-05 00:00:00.000000+00:00,2011-01-05 00:00:29.949490+00:00,Nico Ojenbeer
0,Analyze Request for Quotation,2011-01-04 13:07:55.683993+00:00,2011-01-05 18:43:23.490121+00:00,2011-01-05 21:42:18.019162+00:00,Magdalena Predutta
7,Create Purchase Requisition,2011-01-04 16:58:32.504287+00:00,2011-01-05 00:00:00.000000+00:00,2011-01-05 00:00:00.000000+00:00,Fjodor Kowalski
2,Amend Request for Quotation,2011-01-04 19:26:58.351212+00:00,2011-01-05 00:00:00.000000+00:00,2011-01-05 00:16:48.606891+00:00,Esmana Liubiata
4,Amend Request for Quotation,2011-01-04 23:09:31.955205+00:00,2011-01-05 00:00:00.000000+00:00,2011-01-05 01:28:43.975498+00:00,Anne Olwada
7,Create Request for Quotation,2011-01-05 00:00:00.000000+00:00,2011-01-05 00:00:00.000000+00:00,2011-01-05 00:00:38.522942+00:00,Penn Osterwalder
6,Analyze Request for Quotation,2011-01-05 00:00:29.949490+00:00,2011-01-05 21:42:18.019162+00:00,2011-01-09 23:13:17.807637+00:00,Magdalena Predutta
7,Analyze Request for Quotation,2011-01-05 00:00:38.522942+00:00,2011-01-06 18:18:54.798133+00:00,2011-01-06 22:28:46.736164+00:00,Karel de Groot
8,Create Purchase Requisition,2011-01-05 00:00:43.423452+00:00,2011-01-05 00:00:43.423452+00:00,2011-01-05 00:00:43.423452+00:00,Tesca Lobes
8,Analyze Purchase Requisition,2011-01-05 00:00:43.423452+00:00,2011-01-05 12:00:00.000000+00:00,2011-01-05 13:20:28.863849+00:00,Francis Odell
2,Analyze Request for Quotation,2011-01-05 00:16:48.606891+00:00,2011-01-06 22:28:46.736164+00:00,2011-01-07 12:31:36.295039+00:00,Karel de Groot
4,Analyze Request for Quotation,2011-01-05 01:28:43.975498+00:00,2011-01-07 12:31:36.295039+00:00,2011-01-08 21:34:53.782029+00:00,Karel de Groot
8,Create Request for Quotation,2011-01-05 13:20:28.863849+00:00,2011-01-06 00:00:00.000000+00:00,2011-01-06 00:06:13.085820+00:00,Christian Francois
5,Amend Request for Quotation,2011-01-05 18:43:23.490121+00:00,2011-01-05 18:43:23.490121+00:00,2011-01-05 20:13:13.739418+00:00,Elvira Lores
5,Analyze Request for Quotation,2011-01-05 20:13:13.739418+00:00,2011-01-08 21:34:53.782029+00:00,2011-01-10 20:18:31.498474+00:00,Karel de Groot
0,Amend Request for Quotation,2011-01-05 21:42:18.019162+00:00,2011-01-05 21:42:18.019162+00:00,2011-01-06 12:32:08.594041+00:00,Kim Passa
8,Analyze Request for Quotation,2011-01-06 00:06:13.085820+00:00,2011-01-09 10:57:02.127488+00:00,2011-01-11 06:58:45.837477+00:00,Francois de Perrier
9,Create Purchase Requisition,2011-01-06 03:32:52.802664+00:00,2011-01-06 12:00:00.000000+00:00,2011-01-06 12:00:00.000000+00:00,Anna Kaufmann
9,Analyze Purchase Requisition,2011-01-06 12:00:00.000000+00:00,2011-01-07 00:00:00.000000+00:00,2011-01-07 00:17:42.653328+00:00,Heinz Gutschmidt
0,Analyze Request for Quotation,2011-01-06 12:32:08.594041+00:00,2011-01-09 23:13:17.807637+00:00,2011-01-11 14:32:59.133563+00:00,Magdalena Predutta
10,Create Purchase Requisition,2011-01-06 16:22:39.476906+00:00,2011-01-06 16:22:39.476906+00:00,2011-01-06 16:22:39.476906+00:00,Immanuel Karagianni
10,Analyze Purchase Requisition,2011-01-06 16:22:39.476906+00:00,2011-01-06 16:22:39.476906+00:00,2011-01-06 16:43:49.127521+00:00,Maris Freeman
3,Amend Request for Quotation,2011-01-06 18:18:54.798133+00:00,2011-01-06 18:18:54.798133+00:00,2011-01-06 19:21:20.958869+00:00,Alberto Duport
11,Create Purchase Requisition,2011-01-06 19:20:19.578327+00:00,2011-01-06 19:20:19.578327+00:00,2011-01-06 19:20:19.578327+00:00,Clement Duchot
11,Analyze Purchase Requisition,2011-01-06 19:20:19.578327+00:00,2011-01-06 19:20:19.578327+00:00,2011-01-06 19:45:55.071152+00:00,Francis Odell
3,Analyze Request for Quotation,2011-01-06 19:21:20.958869+00:00,2011-01-10 20:18:31.498474+00:00,2011-01-11 16:10:43.994167+00:00,Karel de Groot
11,Create Request for Quotation,2011-01-06 19:45:55.071152+00:00,2011-01-06 19:45:55.071152+00:00,2011-01-06 19:47:31.570645+00:00,Miu Hanwan
11,Analyze Request for Quotation,2011-01-06 19:47:31.570645+00:00,2011-01-11 06:58:45.837477+00:00,2011-01-11 16:27:31.227538+00:00,Francois de Perrier
7,Amend Request for Quotation,2011-01-06 22:28:46.736164+00:00,2011-01-07 00:00:00.000000+00:00,2011-01-07 02:18:06.537093+00:00,Fjodor Kowalski
12,Create Purchase Requisition,2011-01-06 23:30:49.524766+00:00,2011-01-07 00:00:00.000000+00:00,2011-01-07 00:00:00.000000+00:00,Nico Ojenbeer
12,Analyze Purchase Requisition,2011-01-07 00:00:00.000000+00:00,2011-01-07 12:00:00.000000+00:00,2011-01-07 14:33:30.677712+00:00,Maris Freeman
