Resource,Activity,org:resource,concept:name,lifecycle:transition,time:timestamp,start:timestamp,case:creator,case:variant-index,case:variant,case:concept:name
Kim Passa,Create Purchase Requisition,Kim Passa,Create Purchase Requisition,complete,2011-01-01 06:37:00+01:00,2011-01-01 06:37:00+01:00,Fluxicon Disco,2,Variant 2,1
Kim Passa,Create Request for Quotation,Kim Passa,Create Request for Quotation,complete,2011-01-01 11:45:00+01:00,2011-01-01 11:33:39.600000+01:00,Fluxicon Disco,2,Variant 2,1
Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,complete,2011-01-01 12:55:00+01:00,2011-01-01 12:55:00+01:00,Fluxicon Disco,2,Variant 2,1
Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,Send Request for Quotation to Supplier,complete,2011-01-01 18:09:00+01:00,2011-01-01 17:05:34.800000+01:00,Fluxicon Disco,2,Variant 2,1
Magdalena Predutta,Create Quotation comparison Map,Magdalena Predutta,Create Quotation comparison Map,complete,2011-01-01 22:03:00+01:00,2011-01-01 20:45:46.800000+01:00,Fluxicon Disco,2,Variant 2,1
Immanuel Karagianni,Analyze Quotation Comparison Map,Immanuel Karagianni,Analyze Quotation Comparison Map,complete,2011-01-02 05:13:00+01:00,2011-01-02 03:29:48+01:00,Fluxicon Disco,2,Variant 2,1
Tesca Lobes,Choose best option,Tesca Lobes,Choose best option,complete,2011-01-02 05:13:00+01:00,2011-01-02 05:13:00+01:00,Fluxicon Disco,2,Variant 2,1
Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,complete,2011-01-02 15:20:00+01:00,2011-01-02 08:33:18.600000+01:00,Fluxicon Disco,2,Variant 2,1
Karel de Groot,Create Purchase Order,Karel de Groot,Create Purchase Order,complete,2011-01-02 16:10:00+01:00,2011-01-02 16:04:30+01:00,Fluxicon Disco,2,Variant 2,1
Sean Manney,Confirm Purchase Order,Sean Manney,Confirm Purchase Order,complete,2011-01-02 20:43:00+01:00,2011-01-02 20:43:00+01:00,Fluxicon Disco,2,Variant 2,1
Sean Manney,Deliver Goods Services,Sean Manney,Deliver Goods Services,complete,2011-01-03 09:37:00+01:00,2011-01-03 09:37:00+01:00,Fluxicon Disco,2,Variant 2,1
Elvira Lores,Release Purchase Order,Elvira Lores,Release Purchase Order,complete,2011-01-03 17:21:00+01:00,2011-01-03 12:05:28.800000+01:00,Fluxicon Disco,2,Variant 2,1
Karel de Groot,Approve Purchase Order for payment,Karel de Groot,Approve Purchase Order for payment,complete,2011-01-04 01:10:00+01:00,2011-01-03 22:42:56.400000+01:00,Fluxicon Disco,2,Variant 2,1
Kiu Kan,Send Invoice,Kiu Kan,Send Invoice,complete,2011-01-04 06:54:00+01:00,2011-01-04 06:54:00+01:00,Fluxicon Disco,2,Variant 2,1
Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Release Supplier's Invoice,complete,2011-01-04 21:13:00+01:00,2011-01-04 21:13:00+01:00,Fluxicon Disco,2,Variant 2,1
Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,complete,2011-01-04 21:13:00+01:00,2011-01-04 21:13:00+01:00,Fluxicon Disco,2,Variant 2,1
Pedro Alvares,Pay Invoice,Pedro Alvares,Pay Invoice,complete,2011-01-04 21:31:00+01:00,2011-01-04 21:31:00+01:00,Fluxicon Disco,2,Variant 2,1
Immanuel Karagianni,Create Purchase Requisition,Immanuel Karagianni,Create Purchase Requisition,complete,2011-01-01 06:29:00+01:00,2011-01-01 06:29:00+01:00,Fluxicon Disco,20,Variant 20,2
Alberto Duport,Create Request for Quotation,Alberto Duport,Create Request for Quotation,complete,2011-01-01 14:26:00+01:00,2011-01-01 14:26:00+01:00,Fluxicon Disco,20,Variant 20,2
Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,complete,2011-01-01 15:38:00+01:00,2011-01-01 15:38:00+01:00,Fluxicon Disco,20,Variant 20,2
Christian Francois,Amend Request for Quotation,Christian Francois,Amend Request for Quotation,complete,2011-01-01 16:21:00+01:00,2011-01-01 16:21:00+01:00,Fluxicon Disco,20,Variant 20,2
Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,complete,2011-01-01 17:48:00+01:00,2011-01-01 17:48:00+01:00,Fluxicon Disco,20,Variant 20,2
Esmana Liubiata,Amend Request for Quotation,Esmana Liubiata,Amend Request for Quotation,complete,2011-01-01 18:39:00+01:00,2011-01-01 17:54:07.200000+01:00,Fluxicon Disco,20,Variant 20,2
Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,complete,2011-01-01 19:38:00+01:00,2011-01-01 19:38:00+01:00,Fluxicon Disco,20,Variant 20,2
Francois de Perrier,Send Request for Quotation to Supplier,Francois de Perrier,Send Request for Quotation to Supplier,complete,2011-01-01 21:40:00+01:00,2011-01-01 21:40:00+01:00,Fluxicon Disco,20,Variant 20,2
Karel de Groot,Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,complete,2011-01-01 22:43:00+01:00,2011-01-01 22:43:00+01:00,Fluxicon Disco,20,Variant 20,2
Esmana Liubiata,Analyze Quotation Comparison Map,Esmana Liubiata,Analyze Quotation Comparison Map,complete,2011-01-02 05:44:00+01:00,2011-01-02 04:02:57.600000+01:00,Fluxicon Disco,20,Variant 20,2
Fjodor Kowalski,Choose best option,Fjodor Kowalski,Choose best option,complete,2011-01-02 05:44:00+01:00,2011-01-02 05:44:00+01:00,Fluxicon Disco,20,Variant 20,2
Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Settle Conditions With Supplier,complete,2011-01-02 21:07:00+01:00,2011-01-02 10:48:35.400000+01:00,Fluxicon Disco,20,Variant 20,2
Magdalena Predutta,Create Purchase Order,Magdalena Predutta,Create Purchase Order,complete,2011-01-02 22:31:00+01:00,2011-01-02 22:21:45.600000+01:00,Fluxicon Disco,20,Variant 20,2
Esmeralda Clay,Confirm Purchase Order,Esmeralda Clay,Confirm Purchase Order,complete,2011-01-03 02:29:00+01:00,2011-01-03 02:29:00+01:00,Fluxicon Disco,20,Variant 20,2
Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,Deliver Goods Services,complete,2011-01-04 20:53:00+01:00,2011-01-04 20:53:00+01:00,Fluxicon Disco,20,Variant 20,2
Elvira Lores,Release Purchase Order,Elvira Lores,Release Purchase Order,complete,2011-01-05 05:02:00+01:00,2011-01-04 23:29:28.800000+01:00,Fluxicon Disco,20,Variant 20,2
Karel de Groot,Approve Purchase Order for payment,Karel de Groot,Approve Purchase Order for payment,complete,2011-01-05 15:04:00+01:00,2011-01-05 14:01:13.200000+01:00,Fluxicon Disco,20,Variant 20,2
Esmeralda Clay,Send Invoice,Esmeralda Clay,Send Invoice,complete,2011-01-05 20:50:00+01:00,2011-01-05 20:33:48+01:00,Fluxicon Disco,20,Variant 20,2
Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,complete,2011-01-06 11:07:00+01:00,2011-01-06 11:07:00+01:00,Fluxicon Disco,20,Variant 20,2
Karalda Nimwada,Settle Dispute With Supplier,Karalda Nimwada,Settle Dispute With Supplier,complete,2011-01-06 11:58:00+01:00,2011-01-06 11:58:00+01:00,Fluxicon Disco,20,Variant 20,2
Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,complete,2011-01-06 11:58:00+01:00,2011-01-06 11:58:00+01:00,Fluxicon Disco,20,Variant 20,2
Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,complete,2011-01-06 12:32:00+01:00,2011-01-06 12:32:00+01:00,Fluxicon Disco,20,Variant 20,2
Kim Passa,Create Purchase Requisition,Kim Passa,Create Purchase Requisition,complete,2011-01-01 09:03:00+01:00,2011-01-01 09:03:00+01:00,Fluxicon Disco,1,Variant 1,3
Heinz Gutschmidt,Analyze Purchase Requisition,Heinz Gutschmidt,Analyze Purchase Requisition,complete,2011-01-02 07:58:00+01:00,2011-01-02 06:29:48+01:00,Fluxicon Disco,1,Variant 1,3
Francis Odell,Create Request for Quotation,Francis Odell,Create Request for Quotation,complete,2011-01-02 08:03:00+01:00,2011-01-02 08:03:00+01:00,Fluxicon Disco,1,Variant 1,3
Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,complete,2011-01-02 09:48:00+01:00,2011-01-02 09:33:18+01:00,Fluxicon Disco,1,Variant 1,3
Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,Send Request for Quotation to Supplier,complete,2011-01-02 21:55:00+01:00,2011-01-02 16:49:39.600000+01:00,Fluxicon Disco,1,Variant 1,3
Francois de Perrier,Create Quotation comparison Map,Francois de Perrier,Create Quotation comparison Map,complete,2011-01-03 03:00:00+01:00,2011-01-03 01:20:40.200000+01:00,Fluxicon Disco,1,Variant 1,3
Clement Duchot,Analyze Quotation Comparison Map,Clement Duchot,Analyze Quotation Comparison Map,complete,2011-01-03 09:47:00+01:00,2011-01-03 08:09:19.200000+01:00,Fluxicon Disco,1,Variant 1,3
Christian Francois,Choose best option,Christian Francois,Choose best option,complete,2011-01-03 09:47:00+01:00,2011-01-03 09:47:00+01:00,Fluxicon Disco,1,Variant 1,3
Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Settle Conditions With Supplier,complete,2011-01-04 04:16:00+01:00,2011-01-03 22:30:57+01:00,Fluxicon Disco,1,Variant 1,3
Francois de Perrier,Create Purchase Order,Francois de Perrier,Create Purchase Order,complete,2011-01-04 05:59:00+01:00,2011-01-04 05:47:40.200000+01:00,Fluxicon Disco,1,Variant 1,3
Karen Clarens,Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,complete,2011-01-04 10:10:00+01:00,2011-01-04 09:22:18.600000+01:00,Fluxicon Disco,1,Variant 1,3
Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,Deliver Goods Services,complete,2011-01-05 20:20:00+01:00,2011-01-05 20:20:00+01:00,Fluxicon Disco,1,Variant 1,3
Elvira Lores,Release Purchase Order,Elvira Lores,Release Purchase Order,complete,2011-01-06 03:55:00+01:00,2011-01-05 22:45:36+01:00,Fluxicon Disco,1,Variant 1,3
Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Approve Purchase Order for payment,complete,2011-01-06 19:47:00+01:00,2011-01-06 19:23:46.800000+01:00,Fluxicon Disco,1,Variant 1,3
Kiu Kan,Send Invoice,Kiu Kan,Send Invoice,complete,2011-01-07 07:33:00+01:00,2011-01-07 07:33:00+01:00,Fluxicon Disco,1,Variant 1,3
