case_id,activity,enable_time,start_time,end_time,resource
0,Create Purchase Requisition,2011-01-01 00:00:00.000000+00:00,2011-01-01 00:00:00.000000+00:00,2011-01-01 00:00:00.000000+00:00,Nico Ojenbeer
0,Analyze Purchase Requisition,2011-01-01 00:00:00.000000+00:00,2011-01-01 00:00:00.000000+00:00,2011-01-01 00:28:09.222760+00:00,Heinz Gutschmidt
0,Create Request for Quotation,2011-01-01 00:28:09.222760+00:00,2011-01-01 00:28:09.222760+00:00,2011-01-01 00:28:29.958731+00:00,Christian Francois
0,Analyze Request for Quotation,2011-01-01 00:28:29.958731+00:00,2011-01-01 06:00:00.000000+00:00,2011-01-01 06:48:06.632090+00:00,Francois de Perrier
0,Amend Request for Quotation,2011-01-01 06:48:06.632090+00:00,2011-01-01 06:48:06.632090+00:00,2011-01-01 10:25:28.228380+00:00,Esmana Liubiata
0,Analyze Request for Quotation,2011-01-01 10:25:28.228380+00:00,2011-01-01 10:25:28.228380+00:00,2011-01-01 11:43:42.605661+00:00,Francois de Perrier
0,Amend Request for Quotation,2011-01-01 11:43:42.605661+00:00,2011-01-01 11:43:42.605661+00:00,2011-01-02 00:36:10.512328+00:00,Anne Olwada
1,Create Purchase Requisition,2011-01-01 14:27:53.907425+00:00,2011-01-02 00:00:00.000000+00:00,2011-01-02 00:00:00.000000+00:00,Tesca Lobes
2,Create Purchase Requisition,2011-01-01 17:07:17.569874+00:00,2011-01-02 00:00:00.000000+00:00,2011-01-02 00:00:00.000000+00:00,Penn Osterwalder
3,Create Purchase Requisition,2011-01-01 17:41:11.205025+00:00,2011-01-02 00:00:00.000000+00:00,2011-01-02 00:00:00.000000+00:00,Fjodor Kowalski
2,Analyze Purchase Requisition,2011-01-02 00:00:00.000000+00:00,2011-01-02 00:00:00.000000+00:00,2011-01-02 00:22:32.768665+00:00,Heinz Gutschmidt
3,Create Request for Quotation,2011-01-02 00:00:00.000000+00:00,2011-01-02 00:00:00.000000+00:00,2011-01-02 00:00:04.483840+00:00,Nico Ojenbeer
1,Analyze Purchase Requisition,2011-01-02 00:00:00.000000+00:00,2011-01-02 12:00:00.000000+00:00,2011-01-02 12:00:12.381153+00:00,Maris Freeman
3,Analyze Request for Quotation,2011-01-02 00:00:04.483840+00:00,2011-01-02 06:00:00.000000+00:00,2011-01-02 11:53:33.071478+00:00,Francois de Perrier
4,Create Purchase Requisition,2011-01-02 00:12:50.225653+00:00,2011-01-02 00:12:50.225653+00:00,2011-01-02 00:12:50.225653+00:00,Christian Francois
