case_id,activity,enable_time,start_time,end_time,resource
0,Create Purchase Requisition,2011-01-01 00:00:00.000000+00:00,2011-01-01 00:00:00.000000+00:00,2011-01-01 00:00:00.000000+00:00,Fjodor Kowalski
0,Analyze Purchase Requisition,2011-01-01 00:00:00.000000+00:00,2011-01-01 00:00:00.000000+00:00,2011-01-01 00:05:46.853029+00:00,Heinz Gutschmidt
0,Create Request for Quotation,2011-01-01 00:05:46.853029+00:00,2011-01-01 00:05:46.853029+00:00,2011-01-01 00:05:51.447307+00:00,Christian Francois
0,Analyze Request for Quotation,2011-01-01 00:05:51.447307+00:00,2011-01-01 06:00:00.000000+00:00,2011-01-04 06:36:40.257903+00:00,Francois de Perrier
1,Create Purchase Requisition,2011-01-01 01:55:24.384829+00:00,2011-01-01 01:55:24.384829+00:00,2011-01-01 01:55:24.384829+00:00,Esmana Liubiata
1,Create Request for Quotation,2011-01-01 01:55:24.384829+00:00,2011-01-01 01:55:24.384829+00:00,2011-01-01 01:55:25.638976+00:00,Nico Ojenbeer
1,Analyze Request for Quotation,2011-01-01 01:55:25.638976+00:00,2011-01-01 12:00:00.000000+00:00,2011-01-01 14:19:01.771353+00:00,Karel de Groot
2,Create Purchase Requisition,2011-01-01 04:52:15.254193+00:00,2011-01-01 04:52:15.254193+00:00,2011-01-01 04:52:15.254193+00:00,Tesca Lobes
2,Create Request for Quotation,2011-01-01 04:52:15.254193+00:00,2011-01-01 04:52:15.254193+00:00,2011-01-01 04:52:15.265725+00:00,Anne Olwada
2,Analyze Request for Quotation,2011-01-01 04:52:15.265725+00:00,2011-01-01 12:00:00.000000+00:00,2011-01-02 16:24:29.971754+00:00,Magdalena Predutta
3,Create Purchase Requisition,2011-01-01 07:03:03.098313+00:00,2011-01-01 07:03:03.098313+00:00,2011-01-01 07:03:03.098313+00:00,Penn Osterwalder
3,Analyze Purchase Requisition,2011-01-01 07:03:03.098313+00:00,2011-01-01 07:03:03.098313+00:00,2011-01-01 07:03:15.506654+00:00,Heinz Gutschmidt
3,Create Request for Quotation,2011-01-01 07:03:15.506654+00:00,2011-01-01 07:03:15.506654+00:00,2011-01-01 07:03:23.656095+00:00,Fjodor Kowalski
3,Analyze Request for Quotation,2011-01-01 07:03:23.656095+00:00,2011-01-01 14:19:01.771353+00:00,2011-01-04 12:19:54.858968+00:00,Karel de Groot
1,Amend Request for Quotation,2011-01-01 14:19:01.771353+00:00,2011-01-02 00:00:00.000000+00:00,2011-01-02 00:48:45.754016+00:00,Christian Francois
4,Create Purchase Requisition,2011-01-01 17:26:41.232861+00:00,2011-01-02 00:00:00.000000+00:00,2011-01-02 00:00:00.000000+00:00,Esmana Liubiata
4,Create Request for Quotation,2011-01-02 00:00:00.000000+00:00,2011-01-02 00:00:00.000000+00:00,2011-01-02 00:00:00.489239+00:00,Nico Ojenbeer
4,Analyze Request for Quotation,2011-01-02 00:00:00.489239+00:00,2011-01-02 16:24:29.971754+00:00,2011-01-03 16:07:50.265712+00:00,Magdalena Predutta
1,Analyze Request for Quotation,2011-01-02 00:48:45.754016+00:00,2011-01-03 16:07:50.265712+00:00,2011-01-04 18:12:42.969187+00:00,Magdalena Predutta
2,Amend Request for Quotation,2011-01-02 16:24:29.971754+00:00,2011-01-03 00:00:00.000000+00:00,2011-01-03 01:52:06.160913+00:00,Tesca Lobes
5,Create Purchase Requisition,2011-01-02 17:20:19.631035+00:00,2011-01-03 00:00:00.000000+00:00,2011-01-03 00:00:00.000000+00:00,Anne Olwada
5,Create Request for Quotation,2011-01-03 00:00:00.000000+00:00,2011-01-03 00:00:00.000000+00:00,2011-01-03 00:00:16.524163+00:00,Penn Osterwalder
5,Analyze Request for Quotation,2011-01-03 00:00:16.524163+00:00,2011-01-04 06:36:40.257903+00:00,2011-01-04 07:01:36.498085+00:00,Francois de Perrier
2,Analyze Request for Quotation,2011-01-03 01:52:06.160913+00:00,2011-01-04 07:01:36.498085+00:00,2011-01-06 07:56:33.136115+00:00,Francois de Perrier
6,Create Purchase Requisition,2011-01-03 18:12:20.807536+00:00,2011-01-04 00:00:00.000000+00:00,2011-01-04 00:00:00.000000+00:00,Fjodor Kowalski
7,Create Purchase Requisition,2011-01-03 22:50:27.096940+00:00,2011-01-03 22:50:27.096940+00:00,2011-01-03 22:50:27.096940+00:00,Kim Passa
7,Analyze Purchase Requisition,2011-01-03 22:50:27.096940+00:00,2011-01-04 00:00:00.000000+00:00,2011-01-04 00:09:39.763720+00:00,Heinz Gutschmidt
6,Analyze Purchase Requisition,2011-01-04 00:00:00.000000+00:00,2011-01-04 12:00:00.000000+00:00,2011-01-04 12:24:44.552093+00:00,Maris Freeman
7,Create Request for Quotation,2011-01-04 00:09:39.763720+00:00,2011-01-04 12:00:00.000000+00:00,2011-01-04 12:00:07.121793+00:00,Elvira Lores
8,Create Purchase Requisition,2011-01-04 01:39:43.179297+00:00,2011-01-04 12:00:00.000000+00:00,2011-01-04 12:00:00.000000+00:00,Immanuel Karagianni
9,Create Purchase Requisition,2011-01-04 05:43:22.606241+00:00,2011-01-04 12:00:00.000000+00:00,2011-01-04 12:00:00.000000+00:00,Miu Hanwan
0,Send Request for Quotation to Supplier,2011-01-04 06:36:40.257903+00:00,2011-01-04 12:19:54.858968+00:00,2011-01-04 12:22:05.433962+00:00,Karel de Groot
5,Send Request for Quotation to Supplier,2011-01-04 07:01:36.498085+00:00,2011-01-04 12:22:05.433962+00:00,2011-01-04 12:35:15.588408+00:00,Karel de Groot
8,Analyze Purchase Requisition,2011-01-04 12:00:00.000000+00:00,2011-01-04 12:00:00.000000+00:00,2011-01-04 12:00:19.839580+00:00,Francis Odell
9,Analyze Purchase Requisition,2011-01-04 12:00:00.000000+00:00,2011-01-05 00:00:00.000000+00:00,2011-01-05 00:10:14.308566+00:00,Heinz Gutschmidt
7,Analyze Request for Quotation,2011-01-04 12:00:07.121793+00:00,2011-01-04 12:35:15.588408+00:00,2011-01-04 14:05:34.494567+00:00,Karel de Groot
8,Create Request for Quotation,2011-01-04 12:00:19.839580+00:00,2011-01-04 12:00:19.839580+00:00,2011-01-04 12:00:25.405021+00:00,Anna Kaufmann
8,Analyze Request for Quotation,2011-01-04 12:00:25.405021+00:00,2011-01-04 14:05:34.494567+00:00,2011-01-04 17:53:53.311410+00:00,Karel de Groot
3,Send Request for Quotation to Supplier,2011-01-04 12:19:54.858968+00:00,2011-01-04 17:53:53.311410+00:00,2011-01-04 17:55:26.219203+00:00,Karel de Groot
0,Create Quotation comparison Map,2011-01-04 12:22:05.433962+00:00,2011-01-04 17:55:26.219203+00:00,2011-01-04 18:45:20.731220+00:00,Karel de Groot
6,Create Request for Quotation,2011-01-04 12:24:44.552093+00:00,2011-01-04 12:24:44.552093+00:00,2011-01-04 12:24:45.719032+00:00,Clement Duchot
6,Analyze Request for Quotation,2011-01-04 12:24:45.719032+00:00,2011-01-04 18:12:42.969187+00:00,2011-01-04 19:14:59.645378+00:00,Magdalena Predutta
